,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude,Leak Risk
57678,86003,2050010,414120,N,1,3,9031,3525,,17059224910000,184150,TREMONT C,013,34.0,,,0.0,,1610.0,1532,1535,184150,31.8052257496047,-92.33916100575121,
119252,86013,1540220,780050,N,1,3,2152,0104,,17017254360000,184170,CADDO LEVEE BOARD G,052,33.0,,,0.0,,2490.0,976,978,184170,32.8024620982682,-93.9964117504734,
121006,86024,1544710,799250,N,1,3,2152,5196,,17017254470000,184181,GREEN B,001,28.0,,,0.0,,1200.0,1115,1118,184181,32.8553935496353,-93.9826563886952,
36953,86062,2106100,791890,N,1,3,6824,E7064,,17111239400000,184240,OLIN MATHIESON,005,33.0,,,0.0,,2236.0,2116,2198,184240,32.8432537391345,-92.1547254881719,
119258,86064,1540290,780300,N,1,3,2152,0104,,17017254560000,184245,CADDO LEVEE BOARD G,053,33.0,,,0.0,,1102.0,992,994,184245,32.8031517649071,-93.9961952084794,
73761,86066,2237818,629354,N,1,5,1488,T240,,17083206330000,184249,VINYARD D,001,33.0,,,1090.0,,2755.0,2694,2700,184249,32.3946608784978,-91.72967014681721,
21893,86069,1822090,832800,N,1,3,4457,W5283,,17027211210000,184259,DELANEY,001,33.0,,,0.0,,3250.0,2807,2808,184259,32.9548501004357,-93.08007713884741,
18623,86083,2053636,788513,N,1,5,6824,U044,,17111239500000,184293,WHEELER ET AL,002,33.0,,,0.0,,2300.0,2051,2052,184293,32.8343212909529,-92.3255484293735,
70074,86093,1647780,512000,N,1,3,7651,3096,,17031220770000,184307,LAF RA SUB;KEOUN ET AL,001,34.0,,,0.0,,2900.0,2822,2828,184307,32.0693241419807,-93.63726423635859,
18906,86100,2094110,732800,N,1,3,6824,E7064,,17111239450000,184320,MONTEREY,007,33.0,,,0.0,,2276.0,2209,2229,184320,32.6809536632716,-92.1943035865712,
20195,86101,2090720,751750,N,1,3,6824,E7064,,17111239460000,184321,OLINKRAFT B,001,33.0,,,0.0,,2250.0,2080,2171,184321,32.7330617847936,-92.20515299350781,
49613,86107,1693920,774850,N,1,1,4736,G038,,17015218990000,184330,CV RA SUD;YEATES,001,23.0,,,0.0,,9808.0,9701,9751,184330,32.7930301449335,-93.496110909182,
