,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude
129815,13801,1538662,846141,N,01,02,7746,B366,945,17017009760000,19344,R COQUINA RA SU;RO&L CO B,026,9.0,II,9-IW,,,6002,5986,6002,19344,32.984016102679995,-94.00446579623791
56100,13839,2050788,417330,N,01,05,9031,F132,,00000000000000,19432,PRINGLE SWD,003,9.0,II,5,0,,1560,1550,1560,19432,31.814047043412298,-92.3366410442165
18772,14152,1729744,619992,N,01,03,5096,G148,,17013006170000,19987,GSPL BISTINEAU GAS STORAGE,O-3,9.0,V,11-FO,0,,5734,5110,5200,19987,32.3682608756077,-93.37547901311571
2519,14316,1853497,634173,N,01,03,1320,S421,,17013006040000,20268,BRC PET RA GSA;COMM REAL EST,001,9.0,V,11-FO,0,,6803,6765,6780,20268,32.409358981389396,-92.97486619403809
2520,14316,1853497,634173,N,01,03,1320,S421,,17013006040000,20268,BRC PET RA GSA;COMM REAL EST,001,9.0,V,11-FO,0,,6803,6765,6780,20268,32.409358981389396,-92.97486619403809
130825,14320,1535996,853392,N,01,03,7746,5433,,17017011750000,20273,R GM SU;J E MCCOY,005-2,9.0,II,9-IW,0,,5964,5868,5964,20273,33.003838353109,-94.01348803309472
130826,14320,1535996,853392,N,01,03,7746,5433,,17017011750000,20273,R GM SU;J E MCCOY,005-2,9.0,II,9-IW,0,,5964,5868,5964,20273,33.003838353109,-94.01348803309472
34335,14440,1698627,720311,N,01,05,1432,0492,,00000000000000,20465,BLVU NAC FF4 SU;WYCHE,043,9.0,II,9-FF,0,,462,401,413,20465,32.643259164941696,-93.47919229307692
130728,14472,1537424,854682,N,01,03,7746,5433,,17017011740000,20524,R GM SU;J E MCCOY,006-3,9.0,II,9-IW,0,,5960,5903,5957,20524,33.0074377712545,-94.0088898337652
130729,14472,1537424,854682,N,01,03,7746,5433,,17017011740000,20524,R GM SU;J E MCCOY,006-3,9.0,II,9-IW,0,,5960,5903,5957,20524,33.0074377712545,-94.0088898337652
130730,14472,1537424,854682,N,01,03,7746,5433,,17017011740000,20524,R GM SU;J E MCCOY,006-3,9.0,II,9-IW,0,,5960,5903,5957,20524,33.0074377712545,-94.0088898337652
130731,14472,1537424,854682,N,01,03,7746,5433,,17017011740000,20524,R GM SU;J E MCCOY,006-3,9.0,II,9-IW,0,,5960,5903,5957,20524,33.0074377712545,-94.0088898337652
130732,14472,1537424,854682,N,01,03,7746,5433,,17017011740000,20524,R GM SU;J E MCCOY,006-3,9.0,II,9-IW,0,,5960,5903,5957,20524,33.0074377712545,-94.0088898337652
15975,14783,1741570,623973,N,01,03,5096,G148,,17013006080000,21132,GSPL BISTINEAU GAS STORAGE,A-4,9.0,II,11-FS,0,,5777,5050,5160,21132,32.3794603555513,-93.33727729990521
105507,14810,1551076,761625,N,01,05,2152,T046,150,00000000000000,21178,MUSLOW A SWD,001,9.0,II,5,0,,1600,830,862,21178,32.75223578150511,-93.96028030569141
105508,14810,1551076,761625,N,01,05,2152,T046,150,00000000000000,21178,MUSLOW A SWD,001,9.0,II,5,0,,1600,830,862,21178,32.75223578150511,-93.96028030569141
56083,15166,2051190,417594,N,01,03,9031,3242,,17059029810000,21851,PENDARVIS SWD,001,9.0,II,5,0,,1543,1224,1234,21851,31.814771122129102,-92.33534555150509
17042,15347,1736331,621249,N,01,03,5096,G148,,17013004090000,22293,GSPL BISTINEAU GAS STORAGE,B-2,9.0,II,11-FS,0,,5195,5085,5180,22293,32.3718605087974,-93.3541775755307
17073,15417,1735765,623945,N,01,03,5096,G148,,17013004070000,22495,GSPL BISTINEAU GAS STORAGE,A-3,9.0,II,11-FS,0,,5185,5062,5174,22495,32.3792586913274,-93.35607968397751
1633,15433,1861490,634066,N,01,03,1320,S421,,17013006020000,22542,BRC PET RA GSA;T A LOE ET AL,001,9.0,V,11-FO,0,,6673,6600,6673,22542,32.4091582822407,-92.9489652757135
1634,15433,1861490,634066,N,01,03,1320,S421,,17013006020000,22542,BRC PET RA GSA;T A LOE ET AL,001,9.0,V,11-FO,0,,6673,6600,6673,22542,32.4091582822407,-92.9489652757135
17544,15479,1733662,623416,N,01,03,5096,G148,,17013004160000,22711,GSPL BISTINEAU GAS STORAGE,D-1,9.0,II,11-FS,0,,5190,5071,5172,22711,32.377758778696,-93.3628779066785
128659,15639,1637586,338746,N,01,03,9971,H067,1155,17085047040000,23241,O V SUMMERS SWD,001,9.0,II,5,0,,2634,1308,1338,23241,31.592766885768103,-93.66416529590441
128660,15639,1637586,338746,N,01,03,9971,H067,1155,17085047040000,23241,O V SUMMERS SWD,001,9.0,II,5,0,,2634,1308,1338,23241,31.592766885768103,-93.66416529590441
17007,15889,1735782,626019,N,01,03,5096,G148,,17013003960000,24023,GSPL BISTINEAU GAS STORAGE,A-1,9.0,II,11-FS,0,,5275,5050,5163,24023,32.3849598274278,-93.3560776403843
60841,15912,2089386,433133,N,01,03,7130,K053,,17059010340000,24071,GOODPINE SWD,003,9.0,II,5,1105,,2405,1615,1630,24071,31.8572691218998,-92.2122434134685
60842,15912,2089386,433133,N,01,03,7130,K053,,17059010340000,24071,GOODPINE SWD,003,9.0,II,5,1105,,2405,1615,1630,24071,31.8572691218998,-92.2122434134685
60843,15912,2089386,433133,N,01,03,7130,K053,,17059010340000,24071,GOODPINE SWD,003,9.0,II,5,1105,,2405,1615,1630,24071,31.8572691218998,-92.2122434134685
100919,15986,1556285,760215,N,01,05,2152,5328,,00000000000000,24283,BROWN/MUSLOW SWD,003,9.0,II,5,0,,1554,820,847,24283,32.748552730022304,-93.94327918382379
100920,15986,1556285,760215,N,01,05,2152,5328,,00000000000000,24283,BROWN/MUSLOW SWD,003,9.0,II,5,0,,1554,820,847,24283,32.748552730022304,-93.94327918382379
64512,16120,2089479,421348,N,01,03,7130,X004,,17059009610000,24650,LA CENTRAL SWD,027,9.0,II,5,1255,,2385,1570,1590,24650,31.8248709993838,-92.2120444501984
64513,16120,2089479,421348,N,01,03,7130,X004,,17059009610000,24650,LA CENTRAL SWD,027,9.0,II,5,1255,,2385,1570,1590,24650,31.8248709993838,-92.2120444501984
